"","Name","Title","Business","Address","Picture","Website","Profile"
"11","Jackie and John Solakov"," Owners"," barKadelphia (Pictured with baby Ev)","614 S. 3rd Street","https://southstreet.com/wp-content/uploads/2020/07/11-Barkadelphia.jpg","https://barkadelphia.com/","After nearly two years of business planning and finally getting up the courage to leave corporate America, it was time to open our doors to the Queen Village neighborhood. We anticipated opening January 2013 but received an interesting call from a couple who would become our first ever clients turned lifelong friends. They had recently adopted a pup with debilitating separation anxiety and needed a safe place for their dog to socialize while they went to work. We heard the desperation in their voices so we worked day and night to expedite our grand opening. On the weekends when barKadelphia was closed, we networked at dog parks while our pups played. We were so excited to let the community know we were open for business and made a pack from day one to never pay to advertise our services. This still remains the case today, 7.5 years later. The charm of Queen Village speaks for itself! When we began to look for space to open our doggie daycare, we knew we needed to become a part of the Headhouse District. The people are warm and the pets are plentiful. Simply put, we wouldn’t want to be anywhere else."
"12","Stephen Massimini Jr."," Owner"," MASS F.I.T.","401 S. 2nd Street","https://southstreet.com/wp-content/uploads/2020/07/12-MASS-FIT.jpg","https://mass-fit.com/","I was running just about every gym in Philadelphia. The last gym I managed was a nightmare but they had some of the best trainers I’d ever seen. I told myself if I could turn this place around I would quit and open up my own gym. That’s exactly what I did! I suffered from several series injuries including multiple herniated discs and shoulder, hip and knee tears. I was in pain every single day. I tried everything but nothing worked so I decided to approach lifting weights the same way we approach modern medicine ---- by lifting in small “doses”. This is the same concept I apply at MASS F.I.T. I ended up in the South Street Headhouse District because I love the community!"
"13","Sara McCorriston"," Owner"," Paradigm Gallery + Studio","746 S. 4th Street","https://southstreet.com/wp-content/uploads/2020/07/13-PARADIGM.jpg","https://www.paradigmarts.org/","We opened in February 2010. The gallery began as a project between me and Jason Chen as a space to create artwork, to exhibit the work of our peers, and to invite the members of the community to create and collect in a welcoming gallery setting. We moved the business to the South Street Headhouse District in 2012. I already lived in the area and wanted the business in this amazing neighborhood full of small businesses. We’ve been in business for 10 years!"
"14","Robert Perry"," Owner"," Tattooed Mom ","530 South Street","https://southstreet.com/wp-content/uploads/2020/07/14-TMOMS.jpg","https://www.tattooedmomphilly.com/","Working as an art director for a book publishing company, I did graphic design for Silk City in the 90's where I met Mom. She brought me along for the ride when they opened Sugar Mom's and we teamed up to bring Tattooed Mom to South Street. Now it's just me and my incredible TMoms crew. We celebrated 23 years of love and good times on South Street this April. As a resident of the neighborhood and someone who had a history with the creative community that calls South Street home, I couldn't imagine TMoms anywhere else. We're so proud to be a home where so many creative folks - street artists, filmmakers, writers, fashion designers, photographers, activists - meet and exchange ideas."
"15","George Reilly"," Owner"," The Twisted Tail","509 S. 2nd Street","https://southstreet.com/wp-content/uploads/2020/07/15-Twisted-Tail.jpg","http://thetwistedtail.com/","I got into this business through bartending. Bartending was the first job I ever had. As an actor (during that part of my life) a restaurant gig was an essential, flexible money maker so I never really left the business. I moved to the South Street area and found a great spot! We love it down here!"
"16","Michael & Marlene Clark"," Owners"," Reef Restaurant & Lounge","605 S. 3rd Street","https://southstreet.com/wp-content/uploads/2020/07/16-REEF-Philly.jpg","https://www.phillyreef.com/","I grew up seeing my father operating multiple businesses including bars, supermarkets, rental properties and a taxi cab service. I always knew I wanted to be just like him — determining my own financial destiny. At an early age, I was presented with the opportunity to open a restaurant in Camden, NJ. In 1988, we opened a restaurant which we named after our daughter, Nastassja’s Caribbean Restaurant. Our current location on South 3rd Street was initially purchased as an investment property. When we did not receive rent from our tenant we decided to operate it ourselves!"
"17","Spoonie"," Owner"," O’Neals Pub","611 S. 3rd Street","https://southstreet.com/wp-content/uploads/2020/07/17-Spoonie.jpg","http://www.onealspub.com/","I started working as a doorman on St. Patrick’s Day, March 17, 1996. As I looked around the packed pub that day, I knew that the pub would be my new home! I have been in the bar business all my life and learned a lot throughout my career especially during my 10 year tenure with TGI Fridays. I even worked as a flair bartender while I was there! This year, O'Neals Pub is celebrating 40 years as South Street’s longest running family owned and operated Irish Pub."
"18","Shawnah Lester"," Owner"," HairStory la Femme","766 S. 4th Street","https://southstreet.com/wp-content/uploads/2020/07/18-Hair-Story-La-Femme.jpg","https://hairstorylafemme.com/","I’ve been successfully changing “hair stories” since 2015. I opened HairStory la Femme for women who wanted to be taken care of with love and who valued attention to detail and consistency. I started because I love to make women feel beautiful inside and out no matter where they are in their hair journey. I started doing hair 10 years before I opened my own salon. I believe that my passion for what I do is unmatched. I’ve been in love with the South Street neighborhood since I was in highschool and that’s why I chose this location for my business."
"19","Hakim Hopkins"," Owner"," Black & Nobel","411 South Street","https://southstreet.com/wp-content/uploads/2020/07/19-Black-and-nobel.jpg","https://www.blackandnobel.com/","I got my start selling books as a street vendor. I used to set up shop in front of a building in North Philadelphia and in 2005 I had the opportunity to start renting space in the building I would sell in front of everyday. I continued to sell the things I’ve always sold like books, DVDs, health and wellness items, and more. We quickly became a sanctuary for our community.  We eventually moved the business to South Street. I love the South Street Headhouse District because it’s the home of the artistic community here in the city. I built this business from the ground up with one box of books and a table!"
"20","Brian Calhoun"," Owner"," Haagen-Dazs South Street","242 South Street","https://southstreet.com/wp-content/uploads/2020/07/20-Haagan-Daz.jpg","https://www.haagendazs.us/shops/philadelphia","I started working at Haagen-Dazs when I was 15 years old so I could save up for my prom. My dream job was to work at an ice cream shop inside of a mall so I could hang out and meet cute girls. I got so busy working at Haagen-Dazs I had very little time or energy to hang out! I attended the University of Pittsburgh and graduated with my degree in Sports Medicine. Shortly after, I realized that I did not want to work for anyone else. I decided to go back to manage that Haagen-Dazs location, making a lot less money but with much more freedom. In 2000, I became the youngest Haagen-Dazs Franchise owner in the world at the age of 23!"
"21","Monica Monique"," Owner"," Oxymoron Fashion House","750 S. 4th Street ","https://southstreet.com/wp-content/uploads/2020/07/22-Oxymoron.jpg","https://www.monicamoniqueshop.com/","I earned my bachelor's degree in fashion design and had a background working as a retail manager. My goal was to find a creative way to combine these two things together to create a unique experience for my clients. I chose the South Street Headhouse District because of how diverse and artistic the neighborhood is. I wanted to be surrounded by that art, joy and diversity. Oxymoron is a word used to describe two contradictory terms that appear in conjunction. I chose this name for my business because I believe that people can have two sides to them: the pessimistic optimist, the social introvert or the popular nerd. I wanted to create clothing to fit both sides of whoever you are!"
"22","Giancarlo Regni"," Owner"," G-Strength","616 S. 4th Street","https://southstreet.com/wp-content/uploads/2020/07/23-G-strength.jpg","http://g-strength.com","Because I was an undersized athlete in high school, I became obsessed with optimizing my performance in the gym to gain a competitive advantage. During my senior year at Penn Charter Highschool, they hired a strength coach. I couldn’t believe that this was a real job! I found exactly what I wanted to do for the rest of my life. At 23, I quit my job working at a gym and started G-Strength. I started training neighbors in my mom’s development in Collegeville. I saved every penny I made so I could purchase some equipment. Next thing you know, I was training more than 30 clients! After a year and a half, I was able to upgrade to the gym you see now on 4th Street. We opened in March of 2018 and now have more than 100 members. "
"23","Jacque’ Scott (Sci-Fi)"," Owner"," Another Planet Barber Shop","808 South Street","https://southstreet.com/wp-content/uploads/2020/07/24-Another-Planet.jpg","https://www.anotherplanetbarbershopllc.com/","Being a key player in the WNBA was a lifelong dream until 2013, when I received the news that I was ineligible to play for Temple University. While going through a temporary depression, I knew that these hands were blessed and I was going to use them to create art either way, hence the deep dive into my barber services began, even though I started cutting hair at 17 years old. The beginnings of “Sci-Fi” started July 12, 2014 when I was thrown 20 ft from my vehicle after falling asleep at the wheel. God definitely sent an angel to ensure that I was moved out of the way of a semi truck in the middle of the road. After a 4 day coma, I woke up seeing 4 of everything as a result of my brain hitting my skull 5 times! The medical team wasn’t confident that I would have a full recovery...BUT GOD! With faith and my eyes on the prize, I pressed toward the mark and cut my first head after TWO WEEKS! Fast forward to later that year, I started Another Planet in my 3rd bedroom and hustled doing odd jobs until 2016 when I got the keys to 808 South Street in a prime real estate area. Blood, sweat and tears literally walked me into a space with white walls, black hardwood floors and 6 stations. I knew I needed better but was grateful for what God provided. Through my faithfulness, I was blessed yet again to receive $40k to start the renovations on my vision. Through various media features and accolades - including but not limited to: Biz Philly, Solid Gold Magazine, Barber Evo Magazine (Philadelphia Barber Shops and World Barber Shop Interiors) PHL 17 and the major network, CBS -  I have become the Top Rated Barber in the state of Pennsylvania with over 200 5 star reviews across 3 platforms.  As a multi-award winning barber, I’ve had many opportunities to service multiple celebrities and will be adding more to my roster. Additionally, I had the opportunity earlier this year to be a part of QVC’s “All Made Up”  YoutTube series where you can gain a bit more insight into who I am. August 12th, 2020 makes 4 years of business,  so tell Another Planet, Happy Birthday! To learn more, follow me at @sci_fictional and @apbsllc. Book your appointments online at www.anotherplanetbarbershopllc.com to get the full “Sci-Fi” experience."
"24","Christopher Mazeika"," Owner"," Vinyl Altar","743 S. 4th Street","https://southstreet.com/wp-content/uploads/2020/07/25-Vinyl-Alter.jpg","https://www.discogs.com/seller/VinylAltar/profile","I have always had a strong love of music. After trying other things including teaching art in the Philadelphia Public School system, I decided to find a new career path. With the help of my partner Ann Lamon, we decided to open a music boutique specializing in Heavy Metal and its related genres on vinyl. We also sell music on other formats such as CD and cassette tape, as well as other collectible music memorabilia. I was born and raised in South Philly but have lived in various cities and states. When we decided to open a business I wanted to pay homage to my musical roots, so opening in the South Street area only seemed logical. My maternal great grandfather, Simon Mazeika, owned a tailor shop on Fabric Row in the 1920-30’s. I feel like the area has been calling me since I was born. I’m a very proud Philadelphian and through Vinyl Altar, I continue to share that pride in a positive way, both with those in the community and to all who make a pilgrimage to our place of musical worship."
"25","Kathy Johnson"," Store Manager"," Ac'cent on ANIMALS","804 South Street","https://southstreet.com/wp-content/uploads/2020/07/21-Accent-on-Animals.jpg","https://aoapets.com/","Ac’cent on Animals is a family business owned by Rod Vahle. The company has been in continuous operation in Philadelphia since 1866, starting as Vahle's Pet Shop on South Street then moving to Market Street around 1890. It was there until 1972 when it was transformed into Ac'cent on ANIMALS which focuses on pet foods and supplies. We re-emerged on South Street in 1985 and love the vibrant commercial district!"
"26","Zach Morris"," Owner"," Bloomsday","414 S. 2nd Street","https://southstreet.com/wp-content/uploads/2020/07/26-Bloomsday.jpg","https://bloomsdaycafe.com/","I sold wine for a few years back in the mid 2000s and I was terrible at it! I found my niche when I moved to teaching full time at a wine school. I really loved it and still do. My introduction to hospitality was when I opened a coffee shop out in Haverford called Green Engine but I always dreamt of opening up a wine bar and shop. Once the law changed in 2016 and retail was allowed to obtain liquor licensees, I began looking for a spot in Philadelphia. The Headhouse district just felt right! I love the farmers markets and I like that we’re sort of perched at the intersection of a bunch of neighborhoods with visitors from near and far. Also, my wife and I are raising our two kids here so we loved the idea of creating a business where adults and kids felt welcome and relaxed. Though I’m not teaching at the wine school anymore, Bloomsday gives me an opportunity to talk about wine every single day!"
"27","Doug Hager"," Owner"," Brauhaus Schmitz","718 South Street","https://southstreet.com/wp-content/uploads/2020/07/27-Brauhaus.jpg","https://www.brauhausschmitz.com/","I lived in Germany from 2004-2006. When I returned to Philadelphia, the last German restaurant in the city was closing and I saw an opportunity to bring a much needed German establishment to a city with such a rich German history. I left a career in engineering to go into the restaurant business and never looked back! Brauhaus is modeled after the bier houses I worked at in Köln, Germany. Over the years, we’ve brought the flavors and festivals of the Vaterland to Philly. I searched the city for a location for over a year but nothing had that old world feel I was looking for. When I finally found 718 South Street I knew right away it was the building for this concept. We were able to purchase it and complete the necessary renovations! I guess in a way you can say that South Street picked me, not the other way around."
"28","Daryll Jones"," Owner"," Atomic City Comics","638 South Street","https://southstreet.com/wp-content/uploads/2020/07/28-Atomic-City.jpg","https://www.facebook.com/atomiccitycomics","I applied for a job at Atomic City Comics in the early 90s and worked primarily selling Games Workshop miniatures and games. Their most well known product is the Warhammer 40,000 which has increased in popularity since the 1990s. We have been on South Street continuously since the late 80s under several different names and owners. I became the owner in 2001. "
"29","Dan Matherson"," Owner"," Repo Records","506 South Street","https://southstreet.com/wp-content/uploads/2020/07/29-Repo.jpg","https://www.reporecords.com/","I got into this business in 1986 selling new wave, punk and other underground artists when there weren’t any places paying much attention to those genres. I got the name from the 1984 film, “Repo Man”. I opened the first Repo Records in Wayne, PA located about 30 minutes outside of Philadelphia. I eventually moved to South Street and we’ve been down here for more than 20 years!"
"30","Lindsay Steigerwald & Jesse Pryor"," Owners"," Neighborhood Ramen","617 S. 3rd Street","https://southstreet.com/wp-content/uploads/2020/07/30-NeighborhoodRamen.jpg","https://www.neighborhoodramen.com/","We love ramen and started by making ramen at home, but the yield of soup was too much for just the two of us to eat so we started having friends over and serving them 3-5 course meals with ramen as the main course. We called these gatherings ""Neighborhood Ramen Socials."" We made an Instagram for it and it blew up. People wanted to come to our ""restaurant"" that wasn't a restaurant, just a really hot, tiny apartment in West Philly. We then had opportunities to do pop-ups at Res Ipsa Cafe, Amis and then eventually Garage Fishtown where we really took off and made the decision to start working towards a brick and mortar ramen shop. Before opening, we traveled through Japan for a month trying all different styles of regional ramen and visiting many famous ramen chefs' shops. When we opened our brick and mortar location in January 2019 we kept the name and called our shop Neighborhood Ramen, because that's really what we want to be, your neighborhood ramen shop where you can come slurp down a soul warming bowl of noodles.  One of my best friends was a barista at Ox Coffee so we would go visit him after long days of real estate hunting and we would sit in Ox's window and joke about opening in the vacant space across the street. We knew it was the perfect home for Neighborhood Ramen. We love the Queen Village neighborhood and are so happy to be part of its most recent restaurant boom!"
"31","Elena Brennan"," Owner"," Bus Stop Boutique ","727 S. 4th Street","https://southstreet.com/wp-content/uploads/2020/07/31-Busstop-Boutique.jpg","https://www.busstopboutique.com/","I was born in London but I now call Philadelphia my home. In 2007, I left corporate America (the world of advertising, marketing & PR) to become an entrepreneur. That is when BUS STOP Boutique was born. In 2015, I started designing shoes and launched my very first BUS STOP X Shoe Collection. This line is available exclusively on my website and in my boutique, as well as shoes from designers from all over the world. I've lived in the neighborhood for over 20 years, and I love my local community, so it only made sense to open my business here. Eventually, I became a board member for the South Street Headhouse District and I'm now the active chair. "
"32","Joe Scott"," Owner"," Digital Underground","732 S 4th Street","https://southstreet.com/wp-content/uploads/2020/08/32-Digital-Underground.jpg","https://www.facebook.com/digitalferret/","As an employee, I purchased the assets of Digital Underground from the previous owner and reverted the business name back to what it was when it initially opened in 1994. I have been working here as an owner or employee for around 20 years selling alternative music CDs, vinyl, DVDs, magazines, shirts, and more. The store has always been in the South Street Headhouse District! We started off on South 5th Street and moved to our current location in 2008. "
"33","Jenea Robinson"," Owner"," Marsh + Mane","529 S. 4th Street","https://southstreet.com/wp-content/uploads/2020/08/33-Marsh-Mane.jpg","http://www.marshandmane.com","After I graduated college, I was offered a job at a public relations firm here in Philadelphia. I thought I would be here for a year but I’m still here 13 years later! I love PR but I’ve always had a passion for whipping up my own hair and skin products. One Christmas, I decided that I would make some body butter for my co-workers. I could only order supplies in bulk so after I distributed my gifts I had a bunch of body butter left over. Friends started to ask for some and then some of my co-workers ordered more. Next thing you know I had a product line! During that time I had a horrible experience at a neighborhood beauty supply store. After that, I knew I wanted to combine my love for my community with my passion for hair products to create a unique beauty retail experience for black women and people with textured hair.  I had the hardest time finding a location for Marsh + Mane. One day, I was on my way to visit Shannon from YOWIE down the street and I walked by the Foremost building. I made a phone call and the rest is history. I’m so happy that I chose the South Street Headhouse District for my first location. I love the diverse mix of businesses and people. When other neighborhoods rejected my business concept, South Street welcomed me with open arms!"
"34","Walter Aragonez"," Owner"," Malbec Argentine Steakhouse","400 S. 2nd Street","https://southstreet.com/wp-content/uploads/2020/08/34-Malbec.jpg","http://www.malbecsteakhouse.com/","My friend Daniel and I always dreamt of opening an Argentinian restaurant in Philadelphia. We wanted to introduce Philadelphians to our rich culture and share our history with one of the largest producers of wine. Society Hill is such a beautiful neighborhood that has a lot of history and beautiful people. We’re so happy to have our business here!"
"35","Mitchell Cohen"," Owner"," Cohen & Co. Hardware","615 E Passyunk Ave","https://southstreet.com/wp-content/uploads/2020/08/35-Cohens.jpg","http://www.cohenandcohardware.com/","Our hardware store opened in 1913. I'm a fourth generation business owner. My dad, Marvin Cohen, grew up right above his dad’s store at 911 South Street. My dad was the best teacher! He started teaching me how to run the store as a kid. It’s my life! Just ask my family. It’s a great feeling when you love what you do!"
"36","Paul Rodriguez"," Manager"," Cry Baby Pasta & Wine","627 S. 3rd Street","https://southstreet.com/wp-content/uploads/2020/08/36-Cry-Baby-Pasta.jpg","https://crybabypasta.com/","I started working in the restaurant industry 21 years ago when I first moved to Philadelphia for graduate school. I worked my way up! My wife is Bridget Foy. Her family founded the restaurant named after her right here in the South Street Headhouse District. In 2019 we opened Cry Baby Pasta in this same area. "
"37","Julia Zagar"," Owner"," Eye’s Gallery","402 South Street","https://southstreet.com/wp-content/uploads/2020/08/37-Eyes-Gallery.jpg","https://www.eyesgallery.com/","My husband Isaiah and I joined the Peace Corps in the 60s. We went to Peru to work in craft development. Afterwards, we settled in Philadelphia and opened the Eye’s Gallery, specializing in handmade items. At that time, South Street was a newly developing area full of artists. There was so much energy and possibility! I have spent much of my life as a businesswoman but I am also an artist and ceramicist. My customers are my friends and there isn’t much they don’t know about me!"
"38","Edward Garcia"," Owner"," Queen & Rook Game Cafe","607 S. 2nd Street","https://southstreet.com/wp-content/uploads/2020/08/38-Queen-and-Rooke.jpg","https://queenandrookcafe.com","We visited a game cafe in Canada and saw how great it could be. We came back with a passion to create a place where people could bring their kids during the day and their adult friends at night to have a good time! We chose South Street because it was the perfect mix of day time and night time businesses and had some great spaces with a rich history. We also love that we are next to a dense, residential neighborhood!"
